"common_name","site_id","latitude","longitude","genus","species"
"California ground squirrel",6082,34.031742,-118.812462,"Otospermophilus","beecheyi"
"California ground squirrel",6091,34.11578,-118.757507,"Otospermophilus","beecheyi"
"California ground squirrel",6100,34.118332,-118.758636,"Otospermophilus","beecheyi"
"eastern chipmunk",1419,42.011166,-88.503304,"Tamias","striatus"
"eastern chipmunk",6581,42.545959,-71.354904,"Tamias","striatus"
"eastern chipmunk",10145,42.602543,-83.250992,"Tamias","striatus"
"eastern cottontail",8496,46.328629,-96.061256,"Sylvilagus","floridanus"
"eastern cottontail",10145,42.602543,-83.250992,"Sylvilagus","floridanus"
"eastern gray squirrel",6581,42.545959,-71.354904,"Sciurus","carolinensis"
"eastern gray squirrel",8418,32.363758,-94.873947,"Sciurus","carolinensis"
"eastern gray squirrel",8496,46.328629,-96.061256,"Sciurus","carolinensis"
"eastern gray squirrel",10145,42.602543,-83.250992,"Sciurus","carolinensis"
"elk",2803,39.971001,-105.397003,"Cervus","elaphus"
"fox squirrel",101,37.169998,-98.029999,"Sciurus","niger"
"fox squirrel",10145,42.602543,-83.250992,"Sciurus","niger"
"least chipmunk",2803,39.971001,-105.397003,"Tamias","minimus"
"mountain cottontail",2803,39.971001,-105.397003,"Sylvilagus","nuttallii"
"mule deer",2803,39.971001,-105.397003,"Odocoileus","hemionus"
"mule deer",8242,31.596231,-110.575493,"Odocoileus","hemionus"
"mule deer",10717,38.285664,-111.246605,"Odocoileus","hemionus"
"red squirrel",8496,46.328629,-96.061256,"Tamiasciurus","hudsonicus"
"red squirrel",10145,42.602543,-83.250992,"Tamiasciurus","hudsonicus"
"white-tailed deer",6362,43.012966,-73.649918,"Odocoileus","virginianus"
"white-tailed deer",6581,42.545959,-71.354904,"Odocoileus","virginianus"
"white-tailed deer",10145,42.602543,-83.250992,"Odocoileus","virginianus"
"woodchuck",10145,42.602543,-83.250992,"Marmota","monax"
"yellow-bellied marmot",10717,38.285664,-111.246605,"Marmota","flaviventris"
